ID;Stress
92717803;62,77239213
92509361;62,58227382
92517351;38,34168692
92518107;59,22667672
92519057;59,12084005
92519755;37,45199132
92520069;39,35047727
92521163;68,55031158
92524415;57,94881541
92269524;72,6372925
92075247;63,86773972
92076209;56,86826836
92168575;34,12195136
92234803;55,18843502
92276379;53,57301877
91995337;67,77964603
92031001;67,84410475
92031411;64,07875746
92032160;69,96923784
92033695;41,19548629
92037651;63,12229754
92038491;69,31872501
92039693;57,70403958
92039959;65,26060518
92040063;70,2610256
92042701;34,58891005
92042783;59,6840468
92043847;65,77766938
92044053;76,05079498
92044293;36,38839818
92044787;66,03565056
92045263;42,04400426
92045317;68,44305868
92045529;69,57921059
92046719;35,85653195
92046973;71,98043579
92049787;60,46089066
92050111;54,85654357
92050215;55,4021122
92052111;72,41929882
92054283;64,34718396
92054805;54,999719
92055075;68,56676858
92055290;30,71232925
92058369;32,21510903
92059617;64,29663912
92059911;62,96780076
92062009;46,16379713
92066301;58,401156
92067295;67,20900279
92049410;38,03039805
91927849;38,54517832
91935247;58,97113801
92041496;70,63266983
92067452;62,84389566
92067669;40,18102211
92069641;61,89899504
92074401;33,61115575
92319963;47,10071032
92376389;58,97071907
92385665;57,27918386
92385951;61,61261179
92386011;39,70816169
92387039;60,93529374
92273243;59,9856215
91629013;60,05351942
92086479;67,13198071
92087277;64,94457877
92089626;58,54720392
92360925;37,75112461
92329531;61,91813485
92274857;65,70968145
92330463;62,27358296
92330589;59,83662945
92329695;63,7472371
92337239;38,78334625
92402565;56,66863707
92276071;46,79792796
92280893;52,70528816
92281773;55,88588306
92283588;60,58352041
92337893;62,99907466
92411014;52,0585805
92285839;58,37621278
92286825;68,59104206
92240307;55,69141727
92288845;62,56927802
92287641;49,14105267
92244641;60,00236094
92340215;60,14464916
92398562;60,88881141
92419781;57,20693284
92400037;55,4234774
92400567;41,1128043
92405806;70,82385419
92404685;39,37085843
92357931;40,05371977
92357979;68,45960196
92420955;39,52365656
92456587;57,39442735
92293995;44,7049226
92295247;37,95964412
92244405;58,21533481
92295598;40,42690751
92369211;54,99960911
92368949;52,72356162
92296646;58,4225603
92296711;58,72883326
92297099;58,87563027
92244117;35,60822517
92411919;39,03772163
92343192;43,42591759
92299333;37,30191884
92415083;41,42050557
92300151;48,31844543
92171707;64,85070141
92172001;59,85230615
92174421;62,49901202
92174863;65,84793405
92180749;59,35062899
92183055;60,81164288
92183111;44,59401195
92183301;51,61117184
92184119;53,66914629
92185170;37,3850904
92185541;65,33071821
92186827;55,91989238
92189279;65,83275915
92187909;62,02259059
92188382;66,38680946
92190541;69,90943905
92191931;60,5283447
92193207;56,66553476
92193275;41,70520691
92193429;35,31656486
92195021;61,62864149
92195668;36,02750523
92196621;53,56930868
92197831;63,59316438
92198175;63,95585222
92198339;48,70867287
92200023;41,00913613
92200767;64,82887229
92201141;63,03386339
92201511;67,32043259
92201803;47,023178
92417013;54,31821536
92417139;62,99305635
92417145;68,64684951
92403057;62,4497467
92303482;35,52969855
92303919;47,79715081
92383747;65,36405629
92383855;59,66594101
92217111;70,5842782
92385365;54,87344658
92241204;42,23704392
92345609;61,66725565
92345731;62,03135962
92308231;41,87880509
92395543;51,87570856
92362601;59,00920623
91960599;58,02277999
92423621;54,61884203
92425246;61,64654363
92425775;46,39570243
92428157;63,60114885
92428507;44,75532128
92428839;39,49089693
92429713;59,57947561
92430642;40,79015812
92430895;61,17900377
92432541;61,4887703
92433575;65,36456948
92438461;41,32095879
92442018;58,34341125
91970589;66,18831089
92347087;57,2003645
92370827;60,62396642
92310885;59,99109052
92312961;58,22244358
92074327;44,70097632
92075243;60,55152606
92076179;59,39014297
92076667;43,87883231
92077701;58,99382615
92081093;61,66070799
92082385;34,37130201
92371359;58,64339469
92313645;29,60061196
92397933;53,80383974
92092655;63,63894548
92092717;64,50495377
92094345;36,10746195
92095583;61,52350581
92095926;42,7290013
92100453;63,48796378
92101088;61,77908073
92101359;44,42233176
92104253;60,74248418
92104595;61,11462736
92105585;60,81180031
92106959;47,35287882
92110005;55,24508599
92111491;65,79805736
92112419;68,88644405
92114517;67,06234342
92114875;61,44336564
92116743;45,48376712
92118915;59,99696368
92119951;40,08485865
92120477;40,25158005
92120687;43,88661464
92122197;72,70823744
92122503;29,26457848
92122531;35,43514207
92123431;70,34215126
92125011;57,20182933
92127524;63,48455994
92128398;53,64224049
92129993;42,01349479
92130567;36,94036036
92132175;48,17732727
92132405;56,39943964
92136017;42,6683737
92139249;66,11567618
92142013;60,59610263
92142933;63,90182002
92143314;63,55430779
92143609;59,48117735
92143855;65,98358331
92144317;52,78780724
92144567;65,60111115
92145795;43,39326109
92148203;46,2329915
92149825;64,79994999
92151957;67,67118683
92155552;63,97562758
92155283;36,98707565
92157251;59,53345747
92164293;38,37732081
92158263;63,37138704
92158569;48,20925894
92158601;61,18261458
92158927;36,72885118
92162337;43,58869686
92165610;39,03402955
92166205;54,21454187
92166885;60,61004488
92167557;61,9056194
92168209;42,98419377
92168481;57,11866851
92168867;43,96573269
92170913;40,54708316
92171441;47,57374078
92350329;59,69153806
92318199;52,59385114
92350687;41,96082397
92351013;64,36190825
92382443;57,51018751
92352157;43,15317071
92238097;51,93187736
92441729;62,30691037
92241003;53,83099654
92322333;63,20722711
92353339;61,71862276
92353397;55,79812252
92324443;44,68647118
92353642;40,96964542
92325575;66,67948505
92325667;45,44028486
92354944;71,42184212
92379172;59,69377008
92084113;40,59271096
92327412;60,78555362
92328585;63,79191749
92202873;45,74392411
92206439;68,83426502
92211029;67,96573938
92214681;63,98658345
92216777;41,32295748
92217041;57,32654909
92218283;45,97451791
92220029;57,8558462
92221137;47,83505466
92221627;56,57366738
92222531;68,70670115
92226521;71,67308191
92231501;32,89383132
92232201;64,2290203
92233666;63,10913036
92534871;52,53535396
92535295;44,43963144
92539286;57,1752755
92540635;38,80430147
92242620;58,08694424
92242815;43,96959585
92246041;54,14357295
92248203;55,51208807
92248805;57,31002563
92248915;37,45672203
92252413;59,4345766
92252951;40,04468396
92254857;53,03809623
92255143;41,32837333
92260679;37,64488054
92261761;56,05570157
92263629;45,71861232
92263763;57,33281535
92263859;45,84612927
92264807;58,55511824
92840991;49,32075761
92851225;51,02393459
92443973;63,30048225
92445569;69,52811329
92446019;63,82739713
92447986;61,88324218
92448074;60,94868039
92449667;37,59736554
92450052;40,85326958
92452501;43,38511403
92454235;40,76025818
92454772;41,88032289
92457999;46,2978543
92474411;68,86457138
92474753;62,41723006
92475353;57,82493674
92475913;67,13950423
92479707;39,0510386
92480175;52,23560289
92480449;67,05211434
92482759;46,27810243
92483383;47,00092054
92483859;44,58607811
92485159;43,78550484
92498049;42,27965434
92492463;61,26345837
92492597;40,06448652
92500671;65,7432948
92461124;37,70697716
92463441;46,02102841
92464231;48,98118075
92466779;41,80440178
92470909;37,74669061
92470961;56,1761843
92507543;37,03827918
92508379;60,72183885
92508419;39,81614594
92316384;43,63567518
92375823;62,01957739
92421777;51,4273532
92836805;39,51904007
92544063;62,06659833
92685229;64,72745327
92685385;57,58923045
92688145;52,99911642
92688555;63,94980515
92690165;54,31983651
92682477;48,10287868
92699867;63,4914428
92707797;58,90026253
92711979;39,23790442
92713629;54,200328
92755393;60,57347148
92757789;64,22701523
92723195;43,02797108
92723855;68,35649105
92724325;70,25061176
92728285;51,64010514
92729057;52,54648211
92732029;59,23377503
92732838;40,72961328
92734637;40,46145008
92737203;40,00148396
92738393;41,34005689
92739537;48,1323894
92741433;45,34396358
92743553;38,63326293
92745511;54,05662633
92748207;58,65149455
92753949;54,37245142
92760887;57,56654247
92761401;57,96894164
92765309;48,35350421
92768329;54,0585347
92768353;59,91362455
92769830;44,17886171
92774155;64,62609366
92786949;60,49556904
92793693;57,77479347
92797882;61,04021907
92802299;53,53409625
92803477;60,04801937
92819057;40,78411696
92857297;59,123041
92891377;54,40282222
92899293;59,46453854
92909187;59,1993312
